Packet sent by node  0 :  250
Packet recv by node  0 :  0
Packet sent by node  1 :  139
Packet recv by node  1 :  444
Packet sent by node  2 :  142
Packet recv by node  2 :  459
Packet sent by node  3 :  168
Packet recv by node  3 :  567
Packet sent by node  4 :  110
Packet recv by node  4 :  644
Packet sent by node  5 :  133
Packet recv by node  5 :  642
Packet sent by node  6 :  135
Packet recv by node  6 :  314
Packet sent by node  7 :  103
Packet recv by node  7 :  540
Packet sent by node  8 :  150
Packet recv by node  8 :  451

------------------DATA ANALYSIS -------------------------
Number of packets used to flood the network:  1330
                                                               
Percentage of node that actually received the flooded data
Packet  0  was received by:  75.0 % of nodes
Packet  1  was received by:  87.5 % of nodes
Packet  2  was received by:  100.0 % of nodes
Packet  3  was received by:  87.5 % of nodes
Packet  4  was received by:  100.0 % of nodes
Packet  5  was received by:  100.0 % of nodes
Packet  6  was received by:  87.5 % of nodes
Packet  7  was received by:  87.5 % of nodes
Packet  8  was received by:  62.5 % of nodes
Packet  9  was received by:  87.5 % of nodes
Packet  10  was received by:  100.0 % of nodes
Packet  11  was received by:  100.0 % of nodes
Packet  12  was received by:  100.0 % of nodes
Packet  13  was received by:  100.0 % of nodes
Packet  14  was received by:  100.0 % of nodes
Packet  15  was received by:  62.5 % of nodes
Packet  16  was received by:  100.0 % of nodes
Packet  17  was received by:  100.0 % of nodes
Packet  18  was received by:  100.0 % of nodes
Packet  19  was received by:  87.5 % of nodes
Packet  20  was received by:  87.5 % of nodes
Packet  21  was received by:  100.0 % of nodes
Packet  22  was received by:  75.0 % of nodes
Packet  23  was received by:  75.0 % of nodes
Packet  24  was received by:  75.0 % of nodes
Packet  25  was received by:  87.5 % of nodes
Packet  26  was received by:  100.0 % of nodes
Packet  27  was received by:  100.0 % of nodes
Packet  28  was received by:  100.0 % of nodes
Packet  29  was received by:  100.0 % of nodes
Packet  30  was received by:  100.0 % of nodes
Packet  31  was received by:  75.0 % of nodes
Packet  32  was received by:  100.0 % of nodes
Packet  33  was received by:  87.5 % of nodes
Packet  34  was received by:  87.5 % of nodes
Packet  35  was received by:  100.0 % of nodes
Packet  36  was received by:  100.0 % of nodes
Packet  37  was received by:  100.0 % of nodes
Packet  38  was received by:  75.0 % of nodes
Packet  39  was received by:  100.0 % of nodes
Packet  40  was received by:  87.5 % of nodes
Packet  41  was received by:  100.0 % of nodes
Packet  42  was received by:  100.0 % of nodes
Packet  43  was received by:  100.0 % of nodes
Packet  44  was received by:  100.0 % of nodes
Packet  45  was received by:  100.0 % of nodes
Packet  46  was received by:  100.0 % of nodes
Packet  47  was received by:  87.5 % of nodes
Packet  48  was received by:  100.0 % of nodes
Packet  49  was received by:  100.0 % of nodes
Packet  50  was received by:  100.0 % of nodes
Packet  51  was received by:  100.0 % of nodes
Packet  52  was received by:  100.0 % of nodes
Packet  53  was received by:  100.0 % of nodes
Packet  54  was received by:  100.0 % of nodes
Packet  55  was received by:  87.5 % of nodes
Packet  56  was received by:  100.0 % of nodes
Packet  57  was received by:  87.5 % of nodes
Packet  58  was received by:  87.5 % of nodes
Packet  59  was received by:  100.0 % of nodes
Packet  60  was received by:  100.0 % of nodes
Packet  61  was received by:  100.0 % of nodes
Packet  62  was received by:  62.5 % of nodes
Packet  63  was received by:  100.0 % of nodes
Packet  64  was received by:  75.0 % of nodes
Packet  65  was received by:  100.0 % of nodes
Packet  66  was received by:  100.0 % of nodes
Packet  67  was received by:  100.0 % of nodes
Packet  68  was received by:  100.0 % of nodes
Packet  69  was received by:  87.5 % of nodes
Packet  70  was received by:  87.5 % of nodes
Packet  71  was received by:  75.0 % of nodes
Packet  72  was received by:  100.0 % of nodes
Packet  73  was received by:  75.0 % of nodes
Packet  74  was received by:  100.0 % of nodes
Packet  75  was received by:  100.0 % of nodes
Packet  76  was received by:  100.0 % of nodes
Packet  77  was received by:  100.0 % of nodes
Packet  78  was received by:  100.0 % of nodes
Packet  79  was received by:  100.0 % of nodes
Packet  80  was received by:  100.0 % of nodes
Packet  81  was received by:  100.0 % of nodes
Packet  82  was received by:  100.0 % of nodes
Packet  83  was received by:  50.0 % of nodes
Packet  84  was received by:  37.5 % of nodes
Packet  85  was received by:  100.0 % of nodes
Packet  86  was received by:  87.5 % of nodes
Packet  87  was received by:  100.0 % of nodes
Packet  88  was received by:  100.0 % of nodes
Packet  89  was received by:  87.5 % of nodes
Packet  90  was received by:  87.5 % of nodes
Packet  91  was received by:  100.0 % of nodes
Packet  92  was received by:  100.0 % of nodes
Packet  93  was received by:  87.5 % of nodes
Packet  94  was received by:  100.0 % of nodes
Packet  95  was received by:  100.0 % of nodes
Packet  96  was received by:  62.5 % of nodes
Packet  97  was received by:  100.0 % of nodes
Packet  98  was received by:  100.0 % of nodes
Packet  99  was received by:  100.0 % of nodes
Packet  100  was received by:  100.0 % of nodes
Packet  101  was received by:  100.0 % of nodes
Packet  102  was received by:  100.0 % of nodes
Packet  103  was received by:  100.0 % of nodes
Packet  104  was received by:  100.0 % of nodes
Packet  105  was received by:  100.0 % of nodes
Packet  106  was received by:  100.0 % of nodes
Packet  107  was received by:  100.0 % of nodes
Packet  108  was received by:  100.0 % of nodes
Packet  109  was received by:  100.0 % of nodes
Packet  110  was received by:  100.0 % of nodes
Packet  111  was received by:  100.0 % of nodes
Packet  112  was received by:  87.5 % of nodes
Packet  113  was received by:  87.5 % of nodes
Packet  114  was received by:  87.5 % of nodes
Packet  115  was received by:  100.0 % of nodes
Packet  116  was received by:  100.0 % of nodes
Packet  117  was received by:  87.5 % of nodes
Packet  118  was received by:  100.0 % of nodes
Packet  119  was received by:  100.0 % of nodes
Packet  120  was received by:  100.0 % of nodes
Packet  121  was received by:  100.0 % of nodes
Packet  122  was received by:  100.0 % of nodes
Packet  123  was received by:  100.0 % of nodes
Packet  124  was received by:  100.0 % of nodes
Packet  125  was received by:  100.0 % of nodes
Packet  126  was received by:  100.0 % of nodes
Packet  127  was received by:  100.0 % of nodes
Packet  128  was received by:  100.0 % of nodes
Packet  129  was received by:  87.5 % of nodes
Packet  130  was received by:  100.0 % of nodes
Packet  131  was received by:  100.0 % of nodes
Packet  132  was received by:  100.0 % of nodes
Packet  133  was received by:  100.0 % of nodes
Packet  134  was received by:  87.5 % of nodes
Packet  135  was received by:  50.0 % of nodes
Packet  136  was received by:  87.5 % of nodes
Packet  137  was received by:  75.0 % of nodes
Packet  138  was received by:  100.0 % of nodes
Packet  139  was received by:  100.0 % of nodes
Packet  140  was received by:  87.5 % of nodes
Packet  141  was received by:  100.0 % of nodes
Packet  142  was received by:  87.5 % of nodes
Packet  143  was received by:  87.5 % of nodes
Packet  144  was received by:  100.0 % of nodes
Packet  145  was received by:  100.0 % of nodes
Packet  146  was received by:  100.0 % of nodes
Packet  147  was received by:  100.0 % of nodes
Packet  148  was received by:  75.0 % of nodes
Packet  149  was received by:  50.0 % of nodes
Packet  150  was received by:  100.0 % of nodes
Packet  151  was received by:  87.5 % of nodes
